Id,Category
0,4
1,0
2,0
3,0
4,3
5,8
6,9
7,0
8,0
9,3
10,9
11,3
12,0
13,0
14,3
15,7
16,0
17,0
18,9
19,0
20,9
21,4
22,0
23,0
24,0
25,0
26,5
27,1
28,0
29,0
30,3
31,0
32,0
33,4
34,3
35,0
36,9
37,3
38,9
39,3
40,9
41,3
42,3
43,0
44,0
45,0
46,8
47,2
48,9
49,0
50,0
51,0
52,0
53,0
54,1
55,3
56,4
57,9
58,9
59,1
60,0
61,7
62,0
63,0
64,0
65,2
66,0
67,0
68,9
69,9
70,9
71,0
72,0
73,3
74,0
75,8
76,4
77,8
78,0
79,3
80,3
81,3
82,3
83,3
84,3
85,9
86,1
87,3
88,8
89,7
90,0
91,4
92,0
93,0
94,4
95,7
96,9
97,3
98,2
99,0
100,3
101,9
102,3
103,9
104,5
105,9
106,0
107,4
108,9
109,3
110,9
111,2
112,7
113,9
114,9
115,4
116,0
117,0
118,3
119,8
120,4
121,0
122,0
123,9
124,9
125,3
126,6
127,1
128,5
129,5
130,9
131,8
132,7
133,9
134,0
135,1
136,2
137,3
138,9
139,8
140,0
141,3
142,0
143,3
144,0
145,0
146,1
147,1
148,0
149,1
150,9
151,0
152,3
153,5
154,0
155,9
156,9
157,9
158,3
159,8
160,8
161,9
162,3
163,0
164,1
165,3
166,1
167,1
168,3
169,1
170,1
171,1
172,1
173,1
174,1
175,5
176,9
177,0
178,3
179,3
180,1
181,5
182,7
183,3
184,3
185,1
186,6
187,1
188,5
189,1
190,3
191,1
192,1
193,1
194,2
195,4
196,7
197,1
198,1
199,1
200,7
201,1
202,3
203,1
204,9
205,5
206,1
207,1
208,1
209,5
210,4
211,1
212,1
213,9
214,1
215,1
216,5
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,5
225,1
226,3
227,6
228,1
229,1
230,1
231,3
232,1
233,3
234,1
235,3
236,9
237,1
238,1
239,6
240,9
241,7
242,1
243,1
244,1
245,1
246,1
247,1
248,2
249,1
250,1
251,1
252,9
253,1
254,1
255,3
256,1
257,3
258,2
259,1
260,1
261,2
262,3
263,9
264,1
265,1
266,3
267,1
268,9
269,3
